App Name,App ID,App Category,Developer,App Version,Updated Date,TargetSdk,Camera_p
Udemy - Online Courses,com.udemy.android,EDUCATION,Udemy,9.48.0,"Mar 24, 2025",34,Unknown
Learn to Read - Duolingo ABC,com.duolingo.literacy,EDUCATION,Duolingo,1.22.0,"Aug 5, 2024",34,Unknown
Kahoot! Play & Create Quizzes,no.mobitroll.kahoot.android,EDUCATION,Kahoot!,6.3.1.1,"Apr 7, 2025",34,['take pictures and videos']
Skillshare: Online Classes App,com.skillshare.Skillshare,EDUCATION,"Skillshare, Inc",5.4.78,"Sep 19, 2024",34,Unknown
Memrise: Languages for life,com.memrise.android.memrisecompanion,EDUCATION,Memrise,2025.04.09.0,"Apr 9, 2025",34,['take pictures and videos']
AI Chatbot - Nova,com.scaleup.chatai,PRODUCTIVITY,ScaleUp,3.9.0,"Apr 9, 2025",34,['take pictures and videos']
Elevate - Brain Training Games,com.wonder,EDUCATION,Elevate  Labs,5.184.0,"Apr 14, 2025",35,Unknown
Duolingo: Language Lessons,com.duolingo,EDUCATION,Duolingo,6.26.2,"Apr 14, 2025",34,['take pictures and videos']
Google Maps,com.google.android.apps.maps,TRAVEL_AND_LOCAL,Google LLC,25.15.01.744474145,"Apr 15, 2025",35,['take pictures and videos']
Tubi: Free Movies & Live TV,com.tubitv,ENTERTAINMENT,Tubi TV,9.14.0,"Apr 14, 2025",34,['take pictures and videos']
ESPN,com.espn.score_center,SPORTS,Disney,7.20.0,"Mar 31, 2025",35,Unknown
Prime Video,com.amazon.avod.thirdpartyclient,ENTERTAINMENT,Amazon Mobile LLC,3.0.403.247,"Apr 11, 2025",35,Unknown
Twitch: Live Streaming,tv.twitch.android.app,ENTERTAINMENT,"Twitch Interactive, Inc.",24.0.0,"Apr 11, 2025",35,['take pictures and videos']
Paramount+,com.cbs.app,ENTERTAINMENT,"CBS Interactive, Inc.",15.0.64,"Apr 9, 2025",34,Unknown
PlutoTV: Live TV & Free Movies,tv.pluto.android,ENTERTAINMENT,"Pluto, Inc.",5.54.0,"Apr 2, 2025",35,Unknown
Crunchyroll,com.crunchyroll.crunchyroid,ENTERTAINMENT,"Crunchyroll, LLC",3.80.1,"Apr 14, 2025",35,Unknown
"Picsart AI Photo Editor, Video",com.picsart.studio,PHOTOGRAPHY,"PicsArt, Inc.",27.2.3,"Apr 7, 2025",34,['take pictures and videos']
Dropbox: Secure Cloud Storage,com.dropbox.android,PRODUCTIVITY,"Dropbox, Inc.",420.2.6,"Apr 10, 2025",34,['take pictures and videos']
"Squid: Take Notes, Markup PDFs",com.steadfastinnovation.android.projectpapyrus,PRODUCTIVITY,"Steadfast Innovation, LLC",4.3.0-GP,"Mar 28, 2025",34,Unknown
Zoom Workplace,us.zoom.videomeetings,BUSINESS,zoom.com,6.4.3.28913,"Mar 31, 2025",35,['take pictures and videos']
ibis Paint X,jp.ne.ibis.ibispaintx.app,ART_AND_DESIGN,ibis inc.,13.0.6,"Apr 3, 2025",34,Unknown
ChatGPT,com.openai.chatgpt,PRODUCTIVITY,OpenAI,1.2025.098,"Apr 14, 2025",35,['take pictures and videos']
Clock,com.google.android.deskclock,TOOLS,Google LLC,7.10 (685617841),"Apr 15, 2025",35,Unknown
Indeed Job Search,com.indeed.android.jobsearch,BUSINESS,Indeed Jobs,225.0,"Apr 10, 2025",35,['take pictures and videos']
"DuckDuckGo Browser, Search, AI",com.duckduckgo.mobile.android,TOOLS,DuckDuckGo,5.229.0,"Apr 2, 2025",34,['take pictures and videos']
Sketchbook,com.adsk.sketchbook,ART_AND_DESIGN,Sketchbook,6.1.1,"Oct 28, 2024",34,['take pictures and videos']
Lie Detector Fun Prank,com.quickcash.gurujiapps,TOOLS,Hupe InfoTech,1.0.4,"Mar 9, 2025",34,Unknown
DoorDash - Dasher,com.doordash.driverapp,BUSINESS,DoorDash,8.23.7,"Apr 10, 2025",,['take pictures and videos']
Uber - Driver: Drive & Deliver,com.ubercab.driver,BUSINESS,"Uber Technologies, Inc.",4.521.10001,"Apr 14, 2025",34,['take pictures and videos']
Google Translate,com.google.android.apps.translate,TOOLS,Google LLC,9.6.97.742251538.0-release,"Apr 9, 2025",35,['take pictures and videos']
