App Name,App ID,Free app,Price,Installation
Text Free: Second Call Number,com.pinger.textfree,True,0,"10,000,000+"
Freebie Alerts: Free Stuff App,com.rodolfogs.nextdooralerts,True,0,"1,000,000+"
Tubi: Free Movies & Live TV,com.tubitv,True,0,"100,000,000+"
Free Conference Call,com.freeconferencecall.fccmeetingclient,True,0,"10,000,000+"
VLC for Android,org.videolan.vlc,True,0,"100,000,000+"
"Scoopz: Real Life, Real Video",com.localaiapp.scoops,True,0,"5,000,000+"
TextNow: Call + Text Unlimited,com.enflick.android.TextNow,True,0,"100,000,000+"
Skype,com.skype.raider,True,0,"1,000,000,000+"
ESPN,com.espn.score_center,True,0,"50,000,000+"
Pandora - Music & Podcasts,com.pandora.android,True,0,"100,000,000+"
Microsoft OneNote: Save Notes,com.microsoft.office.onenote,True,0,"500,000,000+"
PlutoTV: Live TV & Free Movies,tv.pluto.android,True,0,"100,000,000+"
Apple Music,com.apple.android.music,True,0,"100,000,000+"
Dropbox: Secure Cloud Storage,com.dropbox.android,True,0,"1,000,000,000+"
AppSales,net.tsapps.appsales,True,0,"1,000,000+"
Google Voice,com.google.android.apps.googlevoice,True,0,"10,000,000+"
Plex: Stream Movies & TV,com.plexapp.android,True,0,"50,000,000+"
Reddit,com.reddit.frontpage,True,0,"100,000,000+"
Elevate - Brain Training Games,com.wonder,True,0,"10,000,000+"
AppsFree,com.appsfree.android,True,0,"1,000,000+"
eBay online shopping & selling,com.ebay.mobile,True,0,"100,000,000+"
The Weather Channel - Radar,com.weather.Weather,True,0,"100,000,000+"
Microsoft To Do: Lists & Tasks,com.microsoft.todos,True,0,"10,000,000+"
"Picsart AI Photo Editor, Video",com.picsart.studio,True,0,"1,000,000,000+"
Signal Private Messenger,org.thoughtcrime.securesms,True,0,"100,000,000+"
Audiomack: Music Downloader,com.audiomack,True,0,"100,000,000+"
"SiriusXM: Music, Sports & News",com.sirius,True,0,"10,000,000+"
Headspace: Meditation & Health,com.getsomeheadspace.android,True,0,"10,000,000+"
Venmo,com.venmo,True,0,"50,000,000+"
hoopla Digital,com.hoopladigital.android,True,0,"5,000,000+"
